,,,corr,"mic,c_ksg,4","mic,c_ksg,6","mic,c_ksg,9","mic,c_ksg,13","mic,c_ksg,17","mic,c_ksg,22","mic,c_ksg,28","mic,c_ksg,35","mic,m_ross,4"
1,Life expectancy,Share of the population with access to electricity,0.8857581731955426,1.00382978625383,0.9728224270491597,0.9385676736636057,0.9018669626698325,0.8853226298669505,0.8698314712680706,0.8493767073129312,0.8239810549495046,
2,Life expectancy,CO2 emissions per capita,0.569214984028676,0.879795002094013,0.8298727598449003,0.7752003709195818,0.7297717381731138,0.712376100241304,0.6767411009898864,0.6435546351476847,0.6091933788325533,
2,Life expectancy,Daily calorie supply per person,0.7562319419553893,0.514701144517951,0.4714508103616455,0.40774008287567065,0.3323096266898476,0.27023703829632306,0.2052900315722066,0.146263226571222,0.09295937838145502,
2,Life expectancy,GDP per capita,0.7001847854856469,0.18481964535965195,0.12632401405654672,0.06501518289169131,0.012483500000015059,0.0009687503939274607,1.266791318845972e-05,-8.881784197001252e-16,0.0,
2,Life expectancy,"Measles, first dose (MCV1)",0.6317305858057529,0.4665839276021684,0.44694057410578075,0.4204651340771682,0.39625688505029,0.37675820891364037,0.3741024239523178,0.3650255082570797,0.3491654490531335,
2,Life expectancy,Polio (Pol3),0.6508927443388118,0.42879511500737166,0.4060757005073283,0.38618856129044676,0.36711536571514664,0.3505242213537371,0.32373235868948236,0.31175806746693824,0.2991073982381832,
2,Life expectancy,Tetanus (DTP3),0.6547905605292798,0.4490430971768548,0.42340497319033543,0.38247408844070646,0.36374606800022946,0.35088855026593263,0.33870886595853833,0.3255956486828641,0.318208625583449,
2,Life expectancy,Military expenditure (% of GDP),0.07746114746038797,0.2017779702358218,0.18745979533003942,0.16927259496982383,0.14531784430152628,0.12448781676285608,0.10300062122270824,0.07760678578489157,0.058583521468761834,
2,Life expectancy,Political regime,0.5087355283075631,,,,,,,,,0.34145499089630915
2,Life expectancy,"Population, total",0.030032416719068564,-8.881784197001252e-16,0.00015910898965791512,-8.881784197001252e-16,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,0.0,
2,Life expectancy,Share of the population using the Internet,0.6853230837670068,0.7103461926149196,0.7015034101040015,0.700205335910581,0.686030892552083,0.6734706198406434,0.6644404603091675,0.6590727368424669,0.6497677884153986,
2,Life expectancy,Share of the population using at least basic sanitation,0.8643838764580476,1.159716354898995,1.0799764774840128,1.0070604723733558,0.9700952298298823,0.9368307406413205,0.9158587172779212,0.8961095478398771,0.8795267006090057,
2,Life expectancy,Share of the labor force employed in agriculture,-0.7837089543768418,0.9682947366835357,0.8993837243833699,0.8384482680965476,0.7814520548887579,0.7499377407329939,0.7214908615291205,0.6975260715000637,0.6779423382776321,
2,Life expectancy,Share of the population with access to electricity,0.8747669403149056,0.9656183875543877,0.9529708524217797,0.9257755442797927,0.896705361149163,0.8853701459306588,0.8684664122481968,0.8545709258093005,0.8362343438473829,
3,Life expectancy,CO2 emissions per capita,0.5622768703572798,0.8214461194353656,0.7802391257537862,0.744318910878406,0.7133053022499303,0.7025424726780353,0.6938431826001821,0.67237041698271,0.6465043077790328,
3,Life expectancy,Daily calorie supply per person,0.7634092939434793,0.5563787493418356,0.512209610059956,0.4518940442267616,0.3876134493091309,0.3331417606354421,0.27755786015246214,0.2158202634687342,0.16163439263466275,
3,Life expectancy,GDP per capita,0.7025230662271953,0.20383620935537922,0.14778727240478684,0.08840831738493903,0.026549579686879193,0.004110665582834295,0.0008058640942785444,2.197358367220323e-05,0.0,
3,Life expectancy,"Measles, first dose (MCV1)",0.6301636947104319,0.40011063198397046,0.39524329489174775,0.38782738612924694,0.3722342566135533,0.3651037322507759,0.35310729969841004,0.34403827046528984,0.33319710712930595,
3,Life expectancy,Polio (Pol3),0.6448545159580346,0.3861267113543313,0.370601443499468,0.36619909744602913,0.3547134672325131,0.3395415907073339,0.3217681073711141,0.30826646408841385,0.2968564229475256,
3,Life expectancy,Tetanus (DTP3),0.6461811451395117,0.4028221985749312,0.38836099868505974,0.37246166784730045,0.34980659390997876,0.34292737970176596,0.3291001611001825,0.3176590354034267,0.307665866810364,
3,Life expectancy,Military expenditure (% of GDP),0.08164984887105826,0.13864959890452236,0.1373383312058096,0.13552960699769745,0.11671824711281682,0.10229288788891734,0.0950632609143503,0.07843458277837152,0.06614675493079124,
3,Life expectancy,Political regime,0.49610754317019307,,,,,,,,,0.3175459451121134
3,Life expectancy,"Population, total",0.027485203852367048,8.881784197001252e-16,0.0001193317422434374,8.881784197001252e-16,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,0.0,
3,Life expectancy,Share of the population using the Internet,0.7154487018059827,0.6909097398554133,0.6870159153111469,0.6808824328817262,0.6700445165236142,0.6657610597615294,0.6586606975036275,0.6512165650297403,0.6486797155858992,
3,Life expectancy,Share of the population using at least basic sanitation,0.8685757450368031,1.092687796458844,1.0506148625368483,0.9960163588922161,0.9720465867620258,0.9495849342493026,0.9276705306364814,0.9086826646358007,0.899842815681676,
3,Life expectancy,Share of the labor force employed in agriculture,-0.7850280486647486,0.8921643279319051,0.8433614919197735,0.78966136879374,0.756542822697395,0.7357843705579757,0.7191044105065828,0.6996737942536061,0.6851085667533892,
3,Life expectancy,Share of the population with access to electricity,0.8687433404749025,0.9352875523325411,0.9369360004783245,0.9217740188835226,0.8982162303549623,0.8813644692631563,0.8660293933163438,0.8537181203519093,0.8362713840777901,
4,Life expectancy,CO2 emissions per capita,0.5559567912741685,0.7899706468923253,0.7712562586389342,0.7283460454329016,0.706214551939178,0.6955601935922772,0.6879457187017161,0.6754675225601969,0.6617319680758705,
4,Life expectancy,Daily calorie supply per person,0.7701311341072443,0.5742282116948213,0.5406794944753079,0.4866747226626294,0.43255253122766385,0.3813291480018351,0.3239750938471507,0.2718151566833345,0.2177623140434727,
4,Life expectancy,GDP per capita,0.7061572733323108,0.2310102890126714,0.16940115749392348,0.10371945431493736,0.044741281431815175,0.013728273695950803,0.002469574413797085,0.0005063778757710253,5.932359239952826e-06,
