Code,Year,Share of the labor force employed in agriculture
BFA,1998,83.86
BFA,1999,82.14
BFA,2000,80.43
BFA,2001,78.35
BFA,2002,76.11
BFA,2003,73.46
BFA,2004,70.72
BFA,2005,67.52
BFA,2006,64.09
BFA,2007,60.53
BFA,2008,56.66
BFA,2009,52.7
BFA,2010,48.22
BFA,2011,43.72
BFA,2012,39.2
BFA,2013,34.73
BFA,2014,30.38
BFA,2015,29.75
BFA,2016,28.93
BFA,2017,28.02
BFA,2018,27.08
BFA,2019,26.21
BDI,1991,92.13
BDI,1992,92.13
BDI,1993,92.19
BDI,1994,92.22
BDI,1995,92.3
BDI,1996,92.37
BDI,1997,92.35
BDI,1998,92.21
BDI,1999,91.99
BDI,2000,91.76
BDI,2001,91.48
BDI,2002,91.17
BDI,2003,90.93
BDI,2004,90.62
BDI,2005,90.3
BDI,2006,89.92
BDI,2007,89.53
BDI,2008,89.11
BDI,2009,88.68
BDI,2010,88.22
BDI,2011,87.75
BDI,2012,87.24
BDI,2013,86.71
BDI,2014,86.19
BDI,2015,86.29
BDI,2016,86.28
BDI,2017,86.31
BDI,2018,86.25
BDI,2019,86.21
KHM,1991,78.13
KHM,1992,77.76
KHM,1993,77.69
KHM,1994,78.83
KHM,1995,78.37
KHM,1996,77.75
KHM,1997,77.3
KHM,1998,76.75
KHM,1999,75.38
KHM,2000,73.48
KHM,2001,68.93
KHM,2002,67.25
KHM,2003,65.99
KHM,2004,63.87
KHM,2005,62.03
KHM,2006,60.08
KHM,2007,58.13
KHM,2008,58.11
KHM,2009,58.04
KHM,2010,57.31
KHM,2011,56.55
KHM,2012,53.21
KHM,2013,49.52
KHM,2014,46
KHM,2015,42.47
KHM,2016,37.54
KHM,2017,38.21
KHM,2018,36.38
KHM,2019,34.53
CMR,1991,68.03
CMR,1992,68.12
CMR,1993,68.31
CMR,1994,68.23
CMR,1995,68.11
CMR,1996,67.92
CMR,1997,67.64
CMR,1998,67.3
CMR,1999,66.91
CMR,2000,66.47
CMR,2001,65.89
CMR,2002,65
CMR,2003,64.04
CMR,2004,62.94
CMR,2005,62.03
CMR,2006,60.98
CMR,2007,59.83
CMR,2008,58.25
CMR,2009,56.66
CMR,2010,55
CMR,2011,53.24
CMR,2012,51.4
CMR,2013,49.48
CMR,2014,47.61
CMR,2015,46.58
CMR,2016,45.71
CMR,2017,44.91
CMR,2018,44.17
CMR,2019,43.49
CAN,1991,3.49
CAN,1992,3.45
CAN,1993,3.48
CAN,1994,3.35
CAN,1995,3.15
CAN,1996,3.11
CAN,1997,3.01
CAN,1998,2.99
CAN,1999,2.81
CAN,2000,2.52
CAN,2001,2.16
CAN,2002,2.12
CAN,2003,2.11
CAN,2004,2.02
CAN,2005,2.12
CAN,2006,2.11
CAN,2007,2
CAN,2008,1.94
CAN,2009,1.95
CAN,2010,1.81
